open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1666465200000,-0.00053071,-0.00028613,-0.00070682,-0.00039760,0,1666468799999,0,720,0,0,0
1666468800000,-0.00039102,-0.00014803,-0.00060249,-0.00053439,0,1666472399999,0,720,0,0,0
1666472400000,-0.00053177,-0.00022831,-0.00077017,-0.00045073,0,1666475999999,0,720,0,0,0
1666476000000,-0.00043006,-0.00019374,-0.00063521,-0.00042993,0,1666479599999,0,720,0,0,0
1666479600000,-0.00046028,-0.00034503,-0.00063599,-0.00042450,0,1666483199999,0,720,0,0,0
1666483200000,-0.00046084,-0.00030162,-0.00070918,-0.00049996,0,1666486799999,0,720,0,0,0
1666486800000,-0.00050389,-0.00031027,-0.00069725,-0.00039612,0,1666490399999,0,720,0,0,0
1666490400000,-0.00043762,-0.00021453,-0.00056506,-0.00052271,0,1666493999999,0,720,0,0,0
1666494000000,-0.00050548,-0.00025766,-0.00066867,-0.00036849,0,1666497599999,0,720,0,0,0
1666497600000,-0.00037868,-0.00017975,-0.00080560,-0.00047797,0,1666501199999,0,720,0,0,0
1666501200000,-0.00048805,-0.00031025,-0.00075574,-0.00050550,0,1666504799999,0,720,0,0,0
1666504800000,-0.00051456,-0.00034008,-0.00093608,-0.00042013,0,1666508399999,0,720,0,0,0
1666508400000,-0.00040830,-0.00031238,-0.00091872,-0.00054011,0,1666511999999,0,720,0,0,0
1666512000000,-0.00054534,-0.00029960,-0.00082209,-0.00053267,0,1666515599999,0,720,0,0,0
1666515600000,-0.00054883,-0.00037142,-0.00068214,-0.00053937,0,1666519199999,0,720,0,0,0
1666519200000,-0.00051305,-0.00036496,-0.00085611,-0.00044545,0,1666522799999,0,720,0,0,0
1666522800000,-0.00046965,-0.00026350,-0.00087963,-0.00049263,0,1666526399999,0,720,0,0,0
1666526400000,-0.00049929,-0.00011766,-0.00145240,-0.00042431,0,1666529999999,0,720,0,0,0
1666530000000,-0.00036985,0.00013353,-0.00059104,-0.00038558,0,1666533599999,0,720,0,0,0
1666533600000,-0.00038047,0.00010434,-0.00058924,-0.00031764,0,1666537199999,0,720,0,0,0
1666537200000,-0.00031627,-0.00019498,-0.00061835,-0.00051759,0,1666540799999,0,720,0,0,0
1666540800000,-0.00052144,-0.00022002,-0.00063875,-0.00048198,0,1666544399999,0,720,0,0,0
