timestamp,btc_long_liquidations
1631727000000.0,16016.51
1631728500000.0,36123.15
1631729100000.0,11246.11
1631729700000.0,2789.29
1631730900000.0,10314.52
1631732400000.0,1449.04
1631734500000.0,12638.1
1631736300000.0,22726.73
1631738100000.0,10281.23
1631739900000.0,10532.83
1631741400000.0,1346.18
1631743200000.0,15122.84
1631745000000.0,12351.0
1631746800000.0,11924.49
1631747700000.0,39531.11
1631748300000.0,12552.56
1631749500000.0,13178.01
1631750700000.0,9115.97
1631751600000.0,11428.14
1631752800000.0,3804.41
1631754000000.0,10545.41
1631755200000.0,24144.29
1631757900000.0,10224.05
1631758800000.0,24773.97
1631759700000.0,11877.31
1631761200000.0,95905.95
1631762400000.0,28704.81
1631762700000.0,12685.19
1631763000000.0,13388.71
1631763600000.0,10761.96
1631764200000.0,10841.26
1631765100000.0,17477.58
1631765400000.0,10103.43
1631765700000.0,16094.5
1631766000000.0,11001.37
1631766300000.0,17008.05
1631766900000.0,10791.5
1631767500000.0,14953.55
1631767800000.0,18502.84
1631768700000.0,11011.72
1631769600000.0,3119.31
1631771100000.0,3935.92
1631772600000.0,10937.57
1631773800000.0,1553.13
1631775600000.0,10478.23
1631776500000.0,2207.14
1631778300000.0,15804.69
1631779500000.0,2902.42
1631780400000.0,15529.31
1631781000000.0,11509.07
1631781900000.0,11290.42
1631783100000.0,13196.93
1631784300000.0,11836.51
1631785200000.0,46805.34
1631786100000.0,10853.5
1631787000000.0,39845.82
1631788200000.0,7231.43
1631788500000.0,11410.72
1631789100000.0,10698.65
1631789700000.0,13079.78
1631790300000.0,14063.68
1631791800000.0,20551.57
1631793900000.0,4184.59
1631794500000.0,11588.32
1631795700000.0,13429.22
1631796300000.0,17589.42
1631797500000.0,3872.87
1631798700000.0,53731.65
1631799900000.0,22722.69
1631800200000.0,13377.48
1631800500000.0,4430.16
1631800800000.0,13574.53
1631801100000.0,29222.33
1631801700000.0,24104.71
1631802000000.0,14299.6
1631802300000.0,12370.12
1631802900000.0,12485.03
1631803500000.0,28828.81
1631804700000.0,15171.74
1631805300000.0,38088.22
1631806200000.0,3525.7
1631806500000.0,20344.28
1631807100000.0,14946.49
1631808300000.0,3394.79
1631809500000.0,11027.91
1631811000000.0,10532.72
1631812800000.0,50691.64
1631814000000.0,13747.37
1631814600000.0,41338.08
1631815200000.0,10659.64
1631815500000.0,34695.49
1631816400000.0,13109.92
1631816700000.0,11653.01
1631817900000.0,11419.61
1631819100000.0,3037.91
1631820900000.0,29071.66
1631822400000.0,10776.81
1631823600000.0,14716.61
1631824500000.0,10988.25
1631825400000.0,25757.62
1631825700000.0,12312.48
1631826300000.0,13733.68
1631827500000.0,13366.38
